id	document	label	label_type	text	label_indices
0	Mozilla	0	[]	websites & communications terms of use	[0]
1	Mozilla	0	[]	please read the terms of this entire document -lrb- `` terms '' -rrb- carefully because it explains your rights and responsibilities when you visit any of mozilla 's websites -lrb- `` websites '' -rrb- , or related feeds , social media , newsletters , source code repositories , and emails -lrb- together with websites , these are collectively referred to as `` communications '' -rrb- .	[0]
2	Mozilla	1	['USE']	by accessing or signing up to receive communications , you agree to be bound by these terms .	[9]
3	Mozilla	0	[]	our websites include multiple domains such as mozilla.org , mozillians.org , firefox.com , mozillafestival.org , openstandard.com , openbadges.org and webmaker.org .	[0]
4	Mozilla	0	[]	you may also recognize our websites by nicknames such as bugzilla@mozilla , bmo , mozwiki , mopad , mozreps , mdn , marketplace , one and done , sumo , and amo .	[0]
5	Mozilla	0	[]	some of our websites connect you with links , apps or add-ons that are provided by other parties and are subject to separate terms .	[0]
6	Mozilla	0	[]	some websites require you to register for an account in order to access additional features of a website or another mozilla service .	[0]
7	Mozilla	0	[]	if applicable , additional terms will be presented to you .	[0]
8	Mozilla	0	[]	you are responsible for all activities under your account .	[0]
9	Mozilla	0	[]	some websites allow you to create a username during registration .	[0]
10	Mozilla	0	[]	your use of a username must comply with our acceptable use policy .	[0]
11	Mozilla	0	[]	our communications include content such as articles , images , photographs , comments , software code , audio and video clips , and other materials -lrb- collectively , `` content '' -rrb- .	[0]
12	Mozilla	0	[]	content is authored by mozilla , contributors to mozilla projects , and other sources .	[0]
13	Mozilla	0	[]	content authored by mozilla is generally made available for public sharing and reuse through open licenses such as creative commons -lrb- for expressive material -rrb- or the mozilla public license -lrb- for software code -rrb- .	[0]
14	Mozilla	0	[]	in most cases we ask mozilla contributors to release content under open licenses .	[0]
15	Mozilla	0	[]	some content in our communications is acquired from sources that prohibit further use of their content without advance permission .	[0]
16	Mozilla	0	[]	where possible , the content or website footer will display a notice with the applicable license .	[0]
17	Mozilla	0	[]	you agree to abide by such notices .	[0]
18	Mozilla	0	[]	some content expressly indicates that the author does not intend for an open license to apply .	[0]
19	Mozilla	0	[]	you should contact the author or author 's agent for permission to use such content .	[0]
20	Mozilla	0	[]	questions on mozilla authored content can be sent to : licensing@mozilla.org .	[0]
21	Mozilla	0	[]	some content contains trademarks , trade dress , logos and brand assets of mozilla and other parties -lrb- `` trademarks '' -rrb- .	[0]
22	Mozilla	0	[]	except for a few limited circumstances , trademarks can not be used without advance written permission of the owner of the trademark .	[0]
23	Mozilla	0	[]	learn more on mozilla trademarks .	[0]
24	Mozilla	0	[]	software used by our websites is licensed under the mpl or similarly permissive open source licenses .	[0]
25	Mozilla	0	[]	for more information on the specific license , please see the applicable source code or github repository .	[0]
26	Mozilla	0	[]	you may contribute content when interacting with our communications , including but not limited to commenting on an article , blogging , contributing code , or contributing graphics or written material -lrb- each a `` submission '' -rrb- .	[0]
27	Mozilla	0	[]	unless your submission is made under a separate agreement with mozilla , in which case that agreement will govern , then	[0]
28	Mozilla	0	[]	for submissions to mozilla 's open source projects :	[0]
29	Mozilla	0	[]	you agree to license your submission under the terms of the corresponding license of the particular open source project to which you are contributing .	[0]
30	Mozilla	0	[]	for more information on the specific license , please see the applicable source code or github repository .	[0]
31	Mozilla	0	[]	for all other submissions , you agree to the following in connection with each :	[0]
32	Mozilla	0	[]	you represent and warrant that your submission will comply with these terms , the mozilla conditions of use , and any additional terms that may govern your submission .	[0]
33	Mozilla	0	[]	you hereby grant us a nonexclusive , royalty-free , worldwide , sublicensable -lrb- to those we work with -rrb- license to use your submission in connection with the communications and online and offline promotion of mozilla 's mission , products and services .	[0]
34	Mozilla	0	[]	you acknowledge that your submissions may be accessible by other registered users of the applicable service or the public .	[0]
35	Mozilla	0	[]	if your submission contains expressive material or software code , you agree to license it in a manner that is compatible with the particular website you are making a submission to .	[0]
36	Mozilla	0	[]	you represent and warrant that you have the rights necessary to grant the rights granted herein , and further , that the uses contemplated under these terms will not infringe the proprietary or intellectual property rights of any third party .	[0]
37	Mozilla	1	['CR']	you understand and agree that mozilla reserves the right , at its discretion , to review , modify , or remove any submission that it deems is objectionable or in violation of these terms .	[3]
38	Mozilla	0	[]	the mozilla websites , communications & cookies privacy notice describes how we handle information that we receive from you in connection with our communications .	[0]
39	Mozilla	0	[]	the privacy notice explains , for example , that we place certain cookies on our websites and how you can opt-out .	[0]
40	Mozilla	0	[]	if you subscribe to receive our newsletters or register for an account in connection with any of our websites , you may receive transactional emails from us in connection with your account -lrb- for example , legal , privacy , and security updates -rrb- .	[0]
41	Mozilla	0	[]	some of our websites have online tools that allow you to send emails to others .	[0]
42	Mozilla	0	[]	for example , you can invite your contacts to events on mozillians .	[0]
43	Mozilla	0	[]	you agree not to misuse others ' email addresses -lrb- for example , by spamming them -rrb- .	[0]
